STAGE_FROM,STAGE_TO,N,row_n,p
PRE-ADMISSION,ADMISSION,100,1,0.7
PRE-ADMISSION,FINAL DISPOSAL,100,2,0.3
ADMISSION,FRAMING OF CHARGES,120,1,0.6
ADMISSION,ARGUMENTS,120,2,0.25
ADMISSION,FINAL DISPOSAL,120,3,0.15
FRAMING OF CHARGES,EVIDENCE,90,1,0.65
FRAMING OF CHARGES,ARGUMENTS,90,2,0.2
FRAMING OF CHARGES,FINAL DISPOSAL,90,3,0.15
EVIDENCE,ARGUMENTS,110,1,0.7
EVIDENCE,FINAL DISPOSAL,110,2,0.3
ARGUMENTS,ORDERS / JUDGMENT,130,1,0.75
ARGUMENTS,FINAL DISPOSAL,130,2,0.25
INTERLOCUTORY APPLICATION,ARGUMENTS,30,1,0.6
INTERLOCUTORY APPLICATION,FINAL DISPOSAL,30,2,0.4
ORDERS / JUDGMENT,FINAL DISPOSAL,140,1,0.9
ORDERS / JUDGMENT,SETTLEMENT,140,2,0.1
SETTLEMENT,FINAL DISPOSAL,50,1,1.0
OTHER,FINAL DISPOSAL,40,1,1.0
NA,NA,10,1,1.0
